stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
200001,"GOETHALS RD N/ADMIN PARKING LOT",,  40.629345, -74.183800,,,0,
200008,"RICHMOND TER/SOUTH AV",,  40.640110, -74.165756,,,0,
200009,"RICHMOND TER/POST LA",,  40.639542, -74.164413,,,0,
200010,"RICHMOND TER/ANDROS AV",,  40.637909, -74.162086,,,0,
200011,"RICHMOND TER/HARBOR RD",,  40.636990, -74.159935,,,0,
200013,"RICHMOND TER/VAN PELT AV",,  40.636749, -74.154884,,,0,
200014,"RICHMOND TER/DAVIS AV",,  40.644711, -74.110733,,,0,
200015,"RICHMOND TER/LAKE AV",,  40.637016, -74.150200,,,0,
200016,"RICHMOND TER/HOUSEMAN AV",,  40.637272, -74.148720,,,0,
200017,"RICHMOND TER/GRANITE AV",,  40.637569, -74.146751,,,0,
200018,"RICHMOND TER/MORNINGSTAR RD",,  40.637856, -74.144928,,,0,
200019,"RICHMOND TER/JOHN ST",,  40.638954, -74.142357,,,0,
200020,"RICHMOND TER/NICHOLAS AV",,  40.639618, -74.139389,,,0,
200021,"RICHMOND TER/SHARPE AV",,  40.640133, -74.136787,,,0,
200022,"RICHMOND TER/FABER ST",,  40.640224, -74.134743,,,0,
200023,"RICHMOND TER/MAPLE AV",,  40.640270, -74.133301,,,0,
200025,"RICHMOND TER/HEBERTON AV",,  40.638977, -74.129440,,,0,
200026,"RICHMOND TER/JEWETT AV",,  40.637650, -74.128853,,,0,
200027,"RICHMOND TER/RECTOR ST",,  40.637188, -74.127388,,,0,
200028,"RICHMOND TER/BODINE ST",,  40.637142, -74.125854,,,0,
200029,"RICHMOND TER/TAYLOR ST",,  40.637772, -74.123611,,,0,
200030,"RICHMOND TER/ALASKA ST",,  40.638977, -74.121849,,,0,
200031,"RICHMOND TER/TOMPKINS CT",,  40.640152, -74.120697,,,0,
200032,"RICHMOND TER/BROADWAY",,  40.640701, -74.117195,,,0,
200033,"RICHMOND TER/N BURGHER AV",,  40.641785, -74.115501,,,0,
200034,"RICHMOND TER/BEMENT AV",,  40.642715, -74.113960,,,0,
200035,"RICHMOND TER/DAVIS AV",,  40.644474, -74.110947,,,0,
200036,"RICHMOND TER/BARD AV",,  40.645000, -74.108871,,,0,
200037,"RICHMOND TER/SAILORS S H GATE",,  40.645035, -74.101929,,,0,
200038,"RICHMOND TER/CLINTON AV",,  40.644604, -74.098129,,,0,
200040,"RICHMOND TER/FRANKLIN AV",,  40.645390, -74.092949,,,0,
200041,"RICHMOND TER/JERSEY ST",,  40.646854, -74.088539,,,0,
200042,"RICHMOND TER/WESTERVELT AV",,  40.647758, -74.086967,,,0,
200043,"RICHMOND TER/ST PETERS PL",,  40.648029, -74.084236,,,0,
200044,"RICHMOND TER/NICHOLAS ST",,  40.647293, -74.081123,,,0,
200045,"RICHMOND TER/STUYVESANT PL",,  40.646030, -74.078392,,,0,
200046,"RICHMOND TER/WALL ST",,  40.644035, -74.076683,,,0,
200047,"RICHMOND TER/SCHUYLER ST",,  40.643139, -74.076004,,,0,
200050,"RICHMOND TER/WALL ST",,  40.644787, -74.076950,,,0,
200051,"RICHMOND TER/STUYVESANT PL",,  40.646381, -74.078392,,,0,
200052,"RICHMOND TER/NICHOLAS ST",,  40.647438, -74.080750,,,0,
200053,"RICHMOND TER/ST PETERS PL",,  40.648422, -74.084579,,,0,
200054,"RICHMOND TER/WESTERVELT AV",,  40.647396, -74.087852,,,0,
200055,"RICHMOND TER/JERSEY ST",,  40.646622, -74.089233,,,0,
200056,"RICHMOND TER/FRANKLIN AV",,  40.645588, -74.092766,,,0,
200057,"RICHMOND TER/LAFAYETTE AV",,  40.644821, -74.096443,,,0,
200058,"RICHMOND TER/CLINTON AV",,  40.644714, -74.098404,,,0,
200062,"RICHMOND TER/BEMENT AV",,  40.642807, -74.114182,,,0,
200063,"RICHMOND TER/N BURGHER AV",,  40.641453, -74.116264,,,0,
200064,"RICHMOND TER/BROADWAY",,  40.640636, -74.117950,,,0,
200065,"RICHMOND TER/TOMPKINS CT",,  40.640560, -74.120590,,,0,
200066,"RICHMOND TER/ALASKA ST",,  40.638924, -74.122246,,,0,
200069,"RICHMOND TER/CLOVE RD",,  40.637257, -74.126701,,,0,
200070,"RICHMOND TER/JEWETT AV",,  40.637707, -74.128647,,,0,
200072,"RICHMOND TER/PARK AV",,  40.640270, -74.130783,,,0,
200073,"RICHMOND TER/NORTH ST",,  40.640324, -74.134880,,,0,
200074,"RICHMOND TER/SHARPE AV",,  40.640278, -74.136551,,,0,
200075,"RICHMOND TER/NICHOLAS AV",,  40.639790, -74.139595,,,0,
200076,"RICHMOND TER/JOHN ST",,  40.639011, -74.142570,,,0,
200077,"RICHMOND TER/MORNINGSTAR RD",,  40.637985, -74.144760,,,0,
200078,"RICHMOND TER/GRANITE AV",,  40.637634, -74.146965,,,0,
200079,"RICHMOND TER/HOUSEMAN AV",,  40.637405, -74.148476,,,0,
200080,"RICHMOND TER/SIMONSON AV",,  40.637039, -74.151108,,,0,
200081,"RICHMOND TER/VAN NAME AV",,  40.636917, -74.152809,,,0,
200082,"RICHMOND TER/VAN PELT AV",,  40.636837, -74.154671,,,0,
